科目,出題回,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
医療概論,25,急性期病院からの退院支援において､患者および家族と相談する際に同席すべき院内の職種として最もふさわしいのはどれか。,管理栄養士,保健師,医療ソーシャルワーカー,臨床心理士,3,
医療概論,25,医療保険について正しいのはどれか。,医師の同意を得た鍼施術は療養の対象となる。,組合管掌保険は自由に付加給付を行うことができる。,協会けんぽは被用者保険である。,現金が支給されることはない。,3,
医療概論,26,平成26年度の国民医療費について正しいのはどれか。 ,40兆円を超える。 ,介護保険の費用が含まれる。,国民所得比は15％を超える。 ,財源は患者負担が40％を超える。,1,
医療概論,26,公的医療保険の対象となるのはどれか。 ,インフルエンザの予防接種 ,正常分娩 ,人間ドック ,禁煙治療,4,
医療概論,27,"介護及び機能訓練その他必要な医療並びに日常生活の世話を行うことを目
的とするのはどれか。",介護老人保健施設,介護老人福祉施設,地域包括ケア病棟,グループホーム,1,
医療概論,27,介護保険の第1号被保険者はどれか。,18 歳以上,20 歳以上,40 歳以上,65 歳以上,4,
医療概論,28,要介護者に対して、居宅、通所、短期間宿泊により、入浴、排泄、食事等の介護、その他の日常生活上の世話や機能訓練を行うのはどれか。,小規模多機能型居宅介護,認知症対応型共同生活介護,定期巡回・随時対応型訪問介護看護,地域密着型通所介護,1,
医療概論,28,加入者と医療保険の組合せで正しいのはどれか。,自営業　---　共済組合,国家公務員　---　協会けんぽ,私立学校教員　---　健康保険組合,無職者　---　国民健康保険,4,
医療概論,28,ヒトを対象とした医学研究の倫理について定めたのはどれか。,アルマ・アタ宣言,患者の権利宣言,ジュネーブ宣言,ヘルシンキ宣言,4,
医療概論,29,我が国の国民医療費の現状について正しいのはどれか。,対国民所得比は15％を超える。,国民医療費は50兆円を超える。,財源は患者負担が30％を超える。,国民一人あたりの医療費は年間30万円を超える。,4,
医療概論,29,患者が治療に対して積極的に関わり、その決定を遵守するのはどれか。,アドヒアランス,コンプライアンス,患者の自己決定権,インフォームド・コンセント,1,
医療概論,29,地域医療計画の策定における第三次医療圏の圏域に相当するのはどれか。,市町村単位,広域市町村単位,都道府県単位,広域都道府県単位,3,
医療概論,29,介護保険制度について正しいのはどれか。,介護保険料は全国一律である。,被保険者は75歳以上の者である。,要介護認定の申請は市区町村に対して行う。,地域包括支援センターは都道府県が設置する。,3,
医療概論,30,介護保険制度の保険者はどれか。,国,都道府県,市町村,介護施設,3,
医療概論,30,我が国の国民医療費に含まれるのはどれか。,正常分娩の費用,訪問介護の療養費用,入院時室料差額の費用,予防接種の費用,2,
医療概論,30,被用者保険でないのはどれか。,船員保険,共済組合,協会けんぽ,国民健康保険,4,
医療概論,30,患者が「よろしくお願いします」と言い、医療従事者が「お任せください」と言う会話から考えられる両者の関係はどれか。,バターナリズム,セカンドオピニオン,インフォームド・アセント,インフォームド・コンセント,1,
医療概論,31,多職種連携によるチーム医療について望ましいのはどれか。,リーダーを特定の職種に固定する。,職種間で目的と情報を共有する。,他の職種の業務内容に立ち入らない。,患者・家族の参加はしない。,2,
医療概論,31,人生の最終段階に実施する医療を示すのはどれか。,QOL,ターミナルケア,バイオエシックス,ノーマライゼーション,2,
医療概論,31,2017年の被用者保険で加入者が最も多いのはどれか。,共済組合,船員保険,協会けんぽ,組合管掌健康保険,3,
医療概論,31,「医師は子どものことを思う親のように、患者は親に保護される子どものように行動する」と表現される医療従事者と患者の関係はどれか。,パターナリズム,セカンドオピニオン,工学モデル,契約モデル,1,
医療概論,32,医療法において、地域の医療従事者の研究実施が規定されているのはどれか。,介護老人保健施設,地域医療支援病院,特定機能病院,臨床研究中核病院,2,
医療概論,32,難病に対する公費負担医療に期待される役割として最も適切なのはどれか。,国家賠償,公衆衛生,社会福祉,研究推進,4,
医療概論,32,チーム医療を推進するのに望ましくないのはどれか。,職種による専門性,職種間の情報共有,職種間の上下関係,職種による業務分担,3,
医療概論,32,ケアプランを作成できる職種はどれか。,社会福祉士,ホームヘルパー,介護支援専門員,医療ソーシャルワーカー,3,
医療概論,33,医学研究の倫理に関する宣言はどれか。,ジュネーブ宣言,ヘルシンキ宣言,リスボン宣言,アルマ・アタ宣言,2,
医療概論,33,我が国の国民医療費に含まれるのはどれか。,予防接種の費用,健康診断の費用,帝王切開の費用,入院時室料差額の費用,3,
医療概論,33,公費医療の対象とならないのはどれか。,生活保護法による医療扶助,母子保健法による養育医療,労働者災害補償保険法による療養,精神保健福祉法による措置入院,3,
医療概論,33,パターナリズムに基づいている行為はどれか。,治療方針は医療者が決める。,個人情報の保護に取り組む。,患者の自己決定権を尊重する。,患者の治療内容の説明を受ける。,1,
医療概論,34,我が国の2023年度の指定難病において、受給者証所持者数が最も多いのはどれか。,パーキンソン病,潰瘍性大腸炎,全身性エリテマトーデス,クローン病,1,
医療概論,34,あはき施術者の倫理について正しいのはどれか。,施術者本位の施術,施術者の利益優先,患者家族の要求優先,患者の苦痛への共感,4,
